time,open,high,low,close,tick_volume,spread,real_volume,symbol,timeframe
2020-01-02 06:00:00+00:00,0.96879,0.97,0.96869,0.96984,549,2,0,USDCHF,H1
2020-01-02 07:00:00+00:00,0.96984,0.97035,0.96984,0.97015,750,3,0,USDCHF,H1
2020-01-02 08:00:00+00:00,0.97015,0.97072,0.97,0.97027,808,3,0,USDCHF,H1
2020-01-02 09:00:00+00:00,0.97013,0.97056,0.96978,0.96995,916,1,0,USDCHF,H1
2020-01-02 10:00:00+00:00,0.96995,0.97032,0.96886,0.96886,1384,4,0,USDCHF,H1
2020-01-02 11:00:00+00:00,0.96886,0.96958,0.96813,0.96954,1343,3,0,USDCHF,H1
2020-01-02 12:00:00+00:00,0.96954,0.97004,0.96906,0.96983,1319,1,0,USDCHF,H1
2020-01-02 13:00:00+00:00,0.96983,0.97101,0.9697,0.97091,1540,5,0,USDCHF,H1
2020-01-02 14:00:00+00:00,0.97091,0.97118,0.97037,0.97105,1377,3,0,USDCHF,H1
2020-01-02 15:00:00+00:00,0.97105,0.97113,0.97018,0.97028,1599,3,0,USDCHF,H1
2020-01-02 16:00:00+00:00,0.97027,0.97137,0.97022,0.97124,2161,3,0,USDCHF,H1
2020-01-02 17:00:00+00:00,0.97124,0.97126,0.96898,0.96914,2720,1,0,USDCHF,H1
2020-01-02 18:00:00+00:00,0.96914,0.97222,0.9689,0.97214,2166,1,0,USDCHF,H1
2020-01-02 19:00:00+00:00,0.97214,0.97325,0.97213,0.97279,1510,4,0,USDCHF,H1
2020-01-02 20:00:00+00:00,0.97279,0.97306,0.97219,0.97225,1204,4,0,USDCHF,H1
2020-01-02 21:00:00+00:00,0.97225,0.97277,0.97219,0.97226,921,4,0,USDCHF,H1
2020-01-02 22:00:00+00:00,0.97226,0.9724,0.97104,0.9714,843,4,0,USDCHF,H1
2020-01-02 23:00:00+00:00,0.97139,0.97151,0.971,0.97114,570,6,0,USDCHF,H1
2020-01-03 00:00:00+00:00,0.97102,0.97147,0.97045,0.97118,440,17,0,USDCHF,H1
2020-01-03 01:00:00+00:00,0.97118,0.97161,0.97088,0.9714,565,2,0,USDCHF,H1
2020-01-03 02:00:00+00:00,0.9714,0.9716,0.97108,0.97108,479,4,0,USDCHF,H1
2020-01-03 03:00:00+00:00,0.97109,0.97119,0.96985,0.97014,608,5,0,USDCHF,H1
2020-01-03 04:00:00+00:00,0.97015,0.97023,0.96879,0.96935,845,4,0,USDCHF,H1
2020-01-03 05:00:00+00:00,0.96935,0.96978,0.96926,0.9697,505,2,0,USDCHF,H1
