strategy,interfaces,net_profit,return_%,total_trades,win_rate_%,sharpe_ratio,max_drawdown_%,profit_factor,signals,data_source,errors,runtime_s
EnhancedMomentumStrategy,advanced_signals,216.83879196458463,0.21683879196458464,2,50.0,0.06958981078175996,0.1328398386400889,2.6266369777091647,2,MT5,0,2.2059388160705566
MomentumStrategy,advanced_signals,216.83879196458463,0.21683879196458464,2,50.0,0.06958981078175996,0.1328398386400889,2.6266369777091647,2,MT5,0,2.0208017826080322
EnhancedMeanReversionStrategy,advanced_signals,123.50681776517331,0.12350681776517332,2,50.0,0.04972117651145862,0.14005750440471926,1.8795080272563276,2,MT5,0,11.877697944641113
MeanReversionStrategy,advanced_signals,123.50681776517331,0.12350681776517332,2,50.0,0.04972117651145862,0.14005750440471926,1.8795080272563276,2,MT5,0,8.078616857528687
AdvancedGridTradingStrategy,simple_analyze,9.036931441275044,0.009036931441275044,3,33.33333333333333,0.0035841379283878664,0.25418626948451856,2.0711047961764564,3,MT5,0,2.79024338722229
EnhancedBreakoutStrategy,advanced_signals,0.0,0.0,0,0.0,0.0,0.0,0.0,0,MT5,0,4.377248525619507
BreakoutStrategy,advanced_signals,0.0,0.0,0,0.0,0.0,0.0,0.0,0,MT5,0,4.038403034210205
EnhancedNewsStrategy,advanced_signals,0.0,0.0,0,0.0,0.0,0.0,0.0,0,MT5,0,2.2555549144744873
EnhancedPivotPointStrategy,advanced_signals,0.0,0.0,0,0.0,0.0,0.0,0.0,0,MT5,0,3.009026288986206
NewsStrategy,advanced_signals,0.0,0.0,0,0.0,0.0,0.0,0.0,0,MT5,0,2.219440221786499
PivotPointStrategy,advanced_signals,0.0,0.0,0,0.0,0.0,0.0,0.0,0,MT5,0,2.408215045928955
SmartRangeTradingStrategy,simple_analyze,0.0,0.0,0,0.0,0.0,0.0,0.0,0,MT5,0,2.0360219478607178
SignalProcessor,unknown,0.0,0.0,0,0.0,0.0,0.0,0.0,0,MT5,0,2.7415413856506348
EnhancedScalpingStrategy,advanced_signals,0.0,0.0,0,0.0,0.0,0.0,0.0,0,MT5,0,2.9563992023468018
ScalpingStrategy,advanced_signals,0.0,0.0,0,0.0,0.0,0.0,0.0,0,MT5,0,3.275334358215332
SupportResistanceBreakoutStrategy,simple_analyze,0.0,0.0,0,0.0,0.0,0.0,0.0,0,MT5,0,2.681370496749878
EnhancedVolumeStrategy,advanced_signals,0.0,0.0,0,0.0,0.0,0.0,0.0,0,MT5,0,37.04372048377991
MultiFacetTrendStrategy,simple_analyze,0.0,0.0,0,0.0,0.0,0.0,0.0,0,MT5,0,2.680140256881714
VolumeStrategy,advanced_signals,0.0,0.0,0,0.0,0.0,0.0,0.0,0,MT5,0,34.80316638946533
MomentumScalpingStrategy,simple_analyze,-122.4313025548529,-0.1224313025548529,1,0.0,-0.11993148729101803,0.1224313025548472,0.0,1,MT5,0,2.25156831741333
